configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_actividad_sin_tope,1,3,0-6-7-8-4-3-1-2-5,1-2-3-4-5-6-7-8-0,16,0,5978,True,False,5134.0,28
temple_actividad_sin_tope,2,3,1-0-3-2-7-4-8-5-6,1-2-3-4-5-6-7-8-0,9,0,7640,True,False,6171.0,21
temple_actividad_sin_tope,3,3,1-6-8-3-5-0-4-7-2,1-2-3-4-5-6-7-0-8,13,1,17401,False,False,,17
temple_actividad_sin_tope,4,3,1-7-4-8-2-3-0-6-5,1-2-6-5-4-3-7-8-0,14,4,17401,False,False,,20
temple_actividad_sin_tope,5,3,2-3-1-7-4-5-8-6-0,1-2-3-4-5-6-7-8-0,10,0,7001,True,False,5814.0,16
temple_actividad_sin_tope,6,3,2-7-1-6-4-8-0-3-5,4-5-3-1-2-6-7-8-0,16,4,17401,False,False,,26
temple_actividad_sin_tope,7,3,2-8-4-6-1-3-0-5-7,1-2-3-4-5-6-7-8-0,14,0,6142,True,False,5274.0,22
temple_actividad_sin_tope,8,3,2-8-7-6-3-1-5-0-4,1-2-3-4-5-6-7-8-0,19,0,7880,True,False,6289.0,25
temple_actividad_sin_tope,9,3,3-2-1-7-5-4-8-6-0,1-2-3-4-5-6-7-8-0,10,0,6568,True,False,5556.0,22
temple_actividad_sin_tope,10,3,3-5-4-6-2-7-8-0-1,1-2-3-4-5-6-7-8-0,17,0,3715,True,False,3395.0,27
temple_actividad_sin_tope,11,3,3-6-2-5-0-4-1-7-8,1-2-3-4-5-6-7-8-0,12,0,5573,True,False,4900.0,16
temple_actividad_sin_tope,12,3,4-1-5-2-6-3-0-7-8,1-2-3-4-5-6-7-8-0,10,0,7210,True,False,5964.0,18
temple_actividad_sin_tope,13,3,4-1-8-3-5-7-2-6-0,1-2-3-4-5-6-7-8-0,16,0,6477,True,False,5524.0,24
temple_actividad_sin_tope,14,3,4-3-2-1-0-6-7-5-8,1-2-3-4-0-5-7-8-6,6,2,17401,False,False,,18
temple_actividad_sin_tope,15,3,4-3-7-6-2-5-0-1-8,2-1-3-4-6-5-7-8-0,14,4,17401,False,False,,26
