configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima,estado_partida,cantidad_intentos,resuelto_sin_reinicio
estocastico,21,5,6-8-2-3-1-5-4-0-7,6-8-2-3-1-5-4-7-0,15,14,6,False,False,,21,,,
estocastico,22,5,7-0-8-6-3-2-1-4-5,7-8-2-6-4-3-1-5-0,17,12,18,False,False,,23,,,
estocastico,23,5,7-1-8-2-0-3-5-4-6,7-1-8-5-2-3-4-0-6,14,11,13,False,False,,22,,,
estocastico,24,5,7-3-2-1-0-6-8-5-4,7-3-2-1-5-6-8-4-0,10,8,10,False,False,,22,,,
estocastico,25,5,7-8-3-4-1-2-0-5-6,7-8-3-4-1-2-0-5-6,10,10,3,False,False,,22,,,
estocastico,26,5,8-1-2-3-6-0-7-5-4,8-1-2-3-6-4-7-5-0,13,12,6,False,False,,23,,,
estocastico,27,5,8-1-7-3-0-2-6-5-4,8-1-7-3-5-2-0-6-4,20,18,10,False,False,,22,,,
estocastico,28,5,8-4-1-3-5-7-0-2-6,8-4-1-3-5-7-0-2-6,16,16,3,False,False,,26,,,
estocastico,29,5,8-6-4-5-0-3-7-1-2,8-6-4-5-1-3-7-2-0,16,14,10,False,False,,26,,,
estocastico,0,6,0-1-6-3-4-7-8-2-5,1-0-6-3-4-7-8-2-5,14,13,6,False,False,,22,,,
estocastico,1,6,0-6-7-8-4-3-1-2-5,0-6-7-8-4-3-1-2-5,16,16,3,False,False,,28,,,
estocastico,2,6,1-0-3-2-7-4-8-5-6,1-0-3-2-7-4-8-5-6,9,9,4,False,False,,21,,,
estocastico,3,6,1-6-8-3-5-0-4-7-2,1-0-6-3-5-8-4-7-2,13,11,9,False,False,,17,,,
estocastico,4,6,1-7-4-8-2-3-0-6-5,1-7-4-0-2-3-8-6-5,14,13,6,False,False,,20,,,
estocastico,5,6,2-3-1-7-4-5-8-6-0,2-3-1-4-5-6-7-8-0,10,4,20,False,False,,16,,,
estocastico,6,6,2-7-1-6-4-8-0-3-5,2-7-1-6-4-8-0-3-5,16,16,3,False,False,,26,,,
estocastico,7,6,2-8-4-6-1-3-0-5-7,2-8-4-6-1-3-0-5-7,14,14,3,False,False,,22,,,
estocastico,8,6,2-8-7-6-3-1-5-0-4,2-8-7-6-3-1-5-4-0,19,18,6,False,False,,25,,,
estocastico,9,6,3-2-1-7-5-4-8-6-0,3-2-1-0-5-4-7-8-6,10,7,11,False,False,,22,,,
estocastico,10,6,3-5-4-6-2-7-8-0-1,3-5-0-6-2-4-8-1-7,17,14,11,False,False,,27,,,
